targetId,comparatorId,outcomeId,outcomeName,type
2037,2017,434165,Abnormal cervical smear,outcome
2037,2017,436409,Abnormal pupil,outcome
2037,2017,199192,Abrasion and/or friction burn of trunk without infection,outcome
2037,2017,4088290,Absence of breast,outcome
2037,2017,4092879,Absent kidney,outcome
2037,2017,436634,Acariasis,outcome
2037,2017,44783954,Acid reflux,outcome
2037,2017,75911,Acquired hallux valgus,outcome
2037,2017,137951,Acquired keratoderma,outcome
2037,2017,77965,Acquired trigger finger,outcome
2037,2017,376707,Acute conjunctivitis,outcome
2037,2017,4103640,Amputated foot,outcome
2037,2017,432595,Amyloidosis,outcome
2037,2017,73241,Anal and rectal polyp,outcome
2037,2017,437082,Ankylosing spondylitis,outcome
2037,2017,77650,Aseptic necrosis of bone,outcome
2037,2017,378424,Astigmatism,outcome
2037,2017,374923,Bell's palsy,outcome
2037,2017,4110709,Benign epithelial neoplasm of skin,outcome
2037,2017,133655,Burn of forearm,outcome
2037,2017,73560,Calcaneal spur,outcome
2037,2017,434327,Cannabis abuse,outcome
2037,2017,4213540,Cervical somatic dysfunction,outcome
2037,2017,381581,Chalazion,outcome
2037,2017,140842,Changes in skin texture,outcome
2037,2017,438531,Chondromalacia,outcome
2037,2017,81378,Chondromalacia of patella,outcome
2037,2017,432303,Cocaine abuse,outcome
2037,2017,4201390,Colostomy present,outcome
2037,2017,46269889,Complication due to Crohn's disease,outcome
2037,2017,134438,Contact dermatitis,outcome
2037,2017,78619,Contusion of knee,outcome
2037,2017,201606,Crohn's disease,outcome
2037,2017,260134,Croup,outcome
2037,2017,76786,Derangement of knee,outcome
2037,2017,4115402,Difficulty sleeping,outcome
2037,2017,443767,Disorder of eye due to diabetes mellitus,outcome
2037,2017,45757370,Disproportion of reconstructed breast,outcome
2037,2017,433111,Effects of hunger,outcome
2037,2017,441589,Endocarditis,outcome
2037,2017,200775,Endometrial hyperplasia,outcome
2037,2017,433527,Endometriosis,outcome
2037,2017,73008,Enthesopathy,outcome
2037,2017,4249170,Epicondylitis,outcome
2037,2017,4170770,Epidermoid cyst,outcome
2037,2017,4345472,Epstein-Barr virus disease,outcome
2037,2017,4092896,Feces contents abnormal,outcome
2037,2017,259995,Foreign body in orifice,outcome
